"Early" "Mid" "Late"
"Achillea_moschata" 0.0117739624585466 0.0704858172355458 0
"Leucanthemopsis_alpina" 0.0825176470442548 0.0426034100694375 0.0101731601731602
"Erigeron_uniflorus" 0.0036623844940275 0.0258936655953444 0
"Antennaria_dioica" 0.00294117647058824 0.0159338909480697 0.0266414141414141
"Gnaphalium_supinum" 0.025733866933157 0.00312612007168459 0.00928030303030303
"Adenostyles_leucophylla" 0.0314820800114918 0 0
"Senecio_incanus" 0.0280564719256403 0.034385815174676 0.0501604767781238
"Homogyne_alpina" 0.00235294117647059 0.00249615975422427 0.0435635198135198
"Tussilago_farfara" 0.0532635165680148 0.00288418458781362 0
"Hieracium_angustifolium" 0.00693035835023665 0.0602046464070869 0.0311140248640249
"Leontodon_helveticus" 0.0122348997070092 0.0302671811540234 0.0692817313405549
"Phyteuma_hemisphaericum" 0 0.0135775740193844 0.0257182115270351
"Euphrasia_minima" 0.0245152158226374 0.0190783308855106 0.00303030303030303
"Pedicularis_kerneri" 0 0.00574945887445887 0.0185606060606061
"Linaria_alpina" 0.0477865920123706 0.00780122655122655 0
"Veronica_bellidioides" 0 0.00996390058890059 0.0305584693084693
"Myosotis_alpestris" 0.00405679513184584 0.0303060193974564 0.00625
"Cerastium_uniflorum" 0.0670578610858709 0.00351265114196149 0
"Silene_acaulis" 0.00163398692810457 0.0241615967242669 0.00606060606060606
"Minuartia_recurva" 0 0.0478362152074967 0.0551998410086645
"Oxyria_digyna" 0.0658855850032321 0.00464466089466089 0
"Arabis_alpina" 0.0379499009256795 0.00107758620689655 0
"Cardamine_bellidifolia" 0.00735294117647059 0 0
"Cardamine_resedifolia" 0.0174017905128453 0.0153674916072372 0.0133928571428571
"Epilobium_fleischeri" 0.0254473131635761 0.0187764677850885 0
"Lotus_corniculatus" 0.00732476898805499 0.015230980252532 0.00928030303030303
"Trifolium_badium" 0.0781631616603577 0.0450511321735562 0
"Trifolium_pallescens" 0.0356401715520556 0.0898342037676225 0
"Saxifraga_aizoides" 0.0395095821133883 0 0
"Saxifraga_bryoides" 0.0449776634791848 0.0392080948627788 0
"Ranunculus_glacialis" 0.00898692810457516 0.00173611111111111 0
"Ranunculus_kuepferi" 0 0.00260416666666667 0.0196428571428571
"Agrostis_rupestris" 0.0439365710917435 0.0494850212538392 0.0383993783993784
"Agrostis_schraderiana" 0 0.00667437182382835 0
"Anthoxanthum_odoratum" 0.0185947712418301 0.0579157018296772 0.0844721373397844
"Avenula_versicolor" 0 0.0271487652094059 0.072332193949841
"Festuca_halleri" 0 0.0430922053340532 0.0474858882947118
"Phleum_rhaeticum" 0.0247348997070092 0.00616572511559998 0
"Poa_alpina" 0.118268187833723 0.0883987110174165 0.0151626559714795
"Carex_curvula" 0 0.00927565866782114 0.110874860433684
"Carex_sempervirens" 0.00588235294117647 0.00848890692640693 0.122860317786788
"Juncus_trifidus" 0.00477941176470588 0.00699566511387164 0.0499786732874968
"Luzula_alpinopilosa" 0.00452488687782805 0.0025 0.005
"Luzula_lutea" 0 0 0.0255252100840336
"Luzula_spicata" 0.00463935574229692 0.0100605079913611 0
